Article Title	Description	Coding
Hunger Games prequel sings an edgier tune in ‘Songbirds & Snakes’	Fifth film in the dystopian sci-fi franchise is supposed to be bloody and brutal, and it is.	\s
‘The Marvels’ Faces Anti-‘Woke’ Backlash After Box Office Flop—Echoing ‘Captain Marvel’ Attacks	Both “The Marvels” and “Captain Marvel” star Oscar winner Brie Larson, who has faced sexist attacks for comments she has made pushing for diversity in Hollywood and film criticism.	\s
‘The Marvels’ Director Tackles Anti-Woke MCU Fans	In a recent interview, The Marvels (2023) director Nia DaCosta addressed the anti-woke backlash to the film and how she deals with the toxic parts of the Marvel fan base. The sequel to Captain Marvel (2019), The Marvels follows Captain Marvel/Carol Danvers (B…	\s
THE MARVELS Reportedly Cut A Scene Confirming Carol Danvers And Valkyrie Were In A Relationship	Some details on several scenes that were reportedly cut from The Marvels have been revealed, and it seems the sequel originally made it clear that Carol Danvers and Valkyrie were in a relationship.	\s
Emerald Fennell’s Poisoned Fantasies	The director is building a world of brutality and Millennial vibes, one movie at a time.	\s
Which Documentary Honors Provide the Best Preview for the Best Documentary Feature Race	With the first round of major winter award nominations in tow, "Screen Talk" host Anne Thompson explains how organizations like Doc NYC affect the Best Documentary Feature Oscar race.	\s
‘Saltburn’ Composer Anthony Willis On Emerald Fennell’s “Dirty Sense” And Templar Knights – Sound & Screen Film	It wasn’t a tough decision for Anthony Willis when Emerald Fennell asked him to compose Saltburn, the drama that stars Barry Keoghan as a young and nerdy Oxford university student who becomes obsessed with a popular and wealthy student (Jacob Elordi). Willis …	\s
IndieWire 2023 Gift Guide: 23 Perfect Holiday Gift Ideas for Cinephiles, TV Fans, and Aspiring Filmmakers	From "Barbie" rollerblades and "White Lotus" sweater vests to Moment iPhone camera lenses and Celluloid the Card Game, IndieWire staffers share the presents they'd like to give and receive this holiday season.	\s
The MCU Is in Big Trouble — Can These Modest Ideas Help the Massive Franchise Get Back on Track?	Six IndieWire staffers of various levels of MCU fandom and interest offer up their ideas for restoring the blockbuster behemoth to its former glory — or at least make it actually interesting.	\s
‘The Holdovers’ Director Alexander Payne Weighs In on AI, Working With Paul Giamatti and Returning to His Greek Roots in Thessaloniki	Hollywood might have ground to a halt in recent months during the recent labor strikes, with the role of artificial intelligence in the moviemaking business a key stumbling block between studio bosses and both the writers and actors guilds. But two-time Acade…	\s
Sweet Nothings: On the Emptiness of Sofia Coppola’s Priscilla	At the conclusion of Priscilla Beaulieu Presley’s 1985 memoir, Elvis and Me, she writes that Elvis “was, and remains, the greatest influence in my life.” Priscilla’s formative years with the King of Rock and Roll are what constitute much of her plainspoken ye…	\s
‘Hunger Games: Ballad of Songbirds and Snakes’ Earns $5.75 Million at Thursday Box Office	"Trolls Band Together" earned $1.3 million in preview showings while "Thanksgiving" carved up $1 million
The post ‘Hunger Games: Ballad of Songbirds and Snakes’ Earns $5.75 Million at Thursday Box Office appeared first on TheWrap.	\s
‘Priscilla’, ‘The Holdovers’ Expand Nicely; ‘Dream Scenario’ With Nicolas Cage Sees Solid Limited Opening – Specialty Box Office	Festival and specialty fare releases crowded the top ten this weekend with Priscilla (A24) and The Holdovers (Focus Features) expanding to hit nos. 4 and 6 respectively. Yash Raj Films’ Bollywood thriller Tiger 3 is at no. 8, and world of mouth continued to b…	\s
The Best Bang for Your Buck Events in Portland This Weekend: Nov 10–12, 2023	Desi Diwali Dance Party, Gobble Up Portland, and More Cheap & Easy Events Under $15
 
 by EverOut Staff
 
 
 
 Whether or not you have a long weekend, we're sharing a wealth of well-advised ways to spend it, with events from Gobble Up Portland to Drawn Hungry…	\s
Miramax Loved ‘The Holdovers’ ’70s-Style Logo Design So Much It Ended Up Using It on Other Releases	Director Alexander Payne’s “The Holdovers” roots itself in 1970s nostalgia, right down to the main title design and the studio logos. However, neither company existed at the time. Distributor Focus Features was founded in 2002, while the film’s production com…	\s
‘Hunger Games’ prequel tops box office, 'Trolls Band Together' opens in 2nd place	“The Hunger Games: The Ballad of Songbirds & Snakes” tops the North American box office in its first weekend in theaters	\s
'Thanksgiving' Helps Bring The Jump Scare Back To The Box Office	Director Eli Roth’s new horror movie is inane, gory, rife with stereotypes, but oh-so-fun for fans looking to be both terrified and repulsed at the theater.	\s
